Time,ID,AccX,AccY,AccZ,Behaviour
15:01:48,M1,0.0437012,0.0617676,-0.953613,Feed
15:01:48,M1,-0.027832,0.0739746,-0.965576,Feed
15:01:48,M1,-0.0517578,0.0859375,-0.965576,Feed
15:01:48,M1,-0.0397949,0.0859375,-0.965576,Feed
15:01:48,M1,-0.0517578,0.0859375,-0.965576,Feed
15:01:48,M1,-0.0397949,0.0859375,-0.965576,Feed
15:01:48,M1,-0.0397949,0.0979004,-1.00171,Feed
15:01:48,M1,-0.0639648,0.0979004,-1.02563,Feed
15:01:48,M1,-0.0517578,0.0979004,-0.977783,Feed
15:01:48,M1,0.0078125,0.0979004,-0.989746,Feed
15:01:49,M1,-0.00390625,0.0859375,-0.989746,Feed
15:01:49,M1,-0.0158691,0.0739746,-0.989746,Feed
15:01:49,M1,-0.027832,0.0859375,-0.977783,Feed
15:01:49,M1,0.0317383,0.0617676,-0.965576,Feed
15:01:49,M1,0.0197754,0.0739746,-0.977783,Feed
15:01:49,M1,0.0078125,0.0739746,-1.02563,Feed
15:01:49,M1,-0.00390625,0.121826,-0.94165,Feed
15:01:49,M1,0.0078125,0.121826,-0.965576,Feed
15:01:49,M1,-0.00390625,0.0979004,-0.977783,Feed
15:01:49,M1,-0.0517578,0.109863,-0.953613,Feed
15:01:49,M1,-0.0639648,0.109863,-0.953613,Feed
15:01:49,M1,-0.0397949,0.0979004,-0.929688,Feed
15:01:49,M1,-0.0517578,0.0979004,-0.94165,Feed
15:01:49,M1,-0.0759277,0.0979004,-0.977783,Feed
15:01:49,M1,-0.0878906,0.0979004,-0.989746,Feed
15:01:49,M1,-0.0759277,0.0859375,-0.989746,Feed
15:01:49,M1,-0.00390625,0.0859375,-0.989746,Feed
15:01:49,M1,0.0078125,0.0859375,-0.989746,Feed
15:01:49,M1,-0.00390625,0.0859375,-0.977783,Feed
15:01:49,M1,-0.027832,0.0859375,-0.977783,Feed
15:01:49,M1,-0.0158691,0.0739746,-0.977783,Feed
15:01:49,M1,-0.00390625,0.0859375,-0.965576,Feed
15:01:49,M1,-0.027832,0.0617676,-0.977783,Feed
15:01:49,M1,0.0078125,0.0979004,-0.977783,Feed
15:01:49,M1,0.0317383,0.121826,-1.01367,Feed
15:01:49,M1,0.067627,0.121826,-0.965576,Feed
15:01:49,M1,0.0078125,0.109863,-0.929688,Feed
15:01:49,M1,-0.0397949,0.0617676,-0.953613,Feed
15:01:49,M1,-0.0639648,0.0739746,-0.977783,Feed
15:01:49,M1,-0.0639648,0.0859375,-0.977783,Feed
15:01:49,M1,-0.0397949,0.0979004,-0.989746,Feed
15:01:49,M1,-0.027832,0.121826,-0.953613,Feed
15:01:49,M1,-0.0517578,0.109863,-0.94165,Feed
15:01:49,M1,-0.0397949,0.0979004,-0.965576,Feed
15:01:49,M1,-0.0517578,0.0979004,-0.965576,Feed
15:01:49,M1,-0.0759277,0.0617676,-0.989746,Feed
15:01:49,M1,-0.0759277,0.0617676,-1.00171,Feed
15:01:49,M1,-0.111816,0.0859375,-0.977783,Feed
15:01:49,M1,-0.027832,0.0739746,-0.977783,Feed
15:01:50,M1,0.0437012,0.0859375,-0.977783,Feed
15:01:50,M1,0.0078125,0.0859375,-0.977783,Feed
15:01:50,M1,0.0556641,0.0739746,-0.977783,Feed
15:01:50,M1,0.0078125,0.0979004,-0.965576,Feed
15:01:50,M1,-0.00390625,0.0859375,-0.953613,Feed
15:01:50,M1,-0.0158691,0.0859375,-0.965576,Feed
15:01:50,M1,0.0437012,0.0739746,-0.94165,Feed
15:01:50,M1,0.0437012,0.0859375,-0.881592,Feed
15:01:50,M1,0.067627,0.0859375,-0.953613,Feed
15:01:50,M1,0.0795898,0.0859375,-1.01367,Feed
15:01:50,M1,0.0078125,0.0859375,-0.929688,Feed
15:01:50,M1,-0.0639648,0.0498047,-0.989746,Feed
15:01:50,M1,-0.0878906,0.0739746,-0.989746,Feed
15:01:50,M1,0.0317383,0.0979004,-0.881592,Feed
15:01:50,M1,0.0795898,0.0617676,-0.869629,Feed
15:01:50,M1,0.0197754,-0.00976562,-0.869629,Feed
15:01:50,M1,-0.0517578,0.00195312,-0.929688,Feed
15:01:50,M1,-0.0639648,0.0617676,-1.06177,Feed
15:01:50,M1,-0.0639648,0.0739746,-1.08569,Feed
15:01:50,M1,-0.0998535,0.0739746,-1.07373,Feed
15:01:50,M1,-0.0878906,0.0859375,-0.965576,Feed
15:01:50,M1,0.0317383,0.0859375,-0.929688,Feed
15:01:50,M1,0.0197754,0.0979004,-0.917725,Feed
15:01:50,M1,0.0317383,0.0979004,-0.917725,Feed
15:01:50,M1,0.0078125,0.0979004,-0.965576,Feed
15:01:50,M1,-0.00390625,0.0979004,-1.01367,Feed
15:01:50,M1,0.0317383,0.0859375,-1.01367,Feed
15:01:50,M1,0.0197754,0.0859375,-1.01367,Feed
15:01:50,M1,0.0078125,0.0859375,-0.965576,Feed
15:01:50,M1,-0.00390625,0.0859375,-0.965576,Feed
15:01:50,M1,-0.0158691,0.0859375,-0.977783,Feed
15:01:50,M1,0.0078125,0.0859375,-0.905762,Feed
15:01:50,M1,-0.00390625,0.0617676,-0.929688,Feed
15:01:50,M1,-0.0158691,0.0617676,-0.953613,Feed
15:01:50,M1,-0.0397949,0.0739746,-0.977783,Feed
15:01:50,M1,-0.00390625,0.0859375,-0.977783,Feed
15:01:50,M1,0.0197754,0.0859375,-0.977783,Feed
15:01:50,M1,0.0197754,0.0739746,-0.94165,Feed
15:01:50,M1,-0.0158691,0.0739746,-0.989746,Feed
15:01:50,M1,-0.00390625,0.0859375,-0.977783,Feed
15:01:51,M1,-0.00390625,0.0859375,-0.929688,Feed
15:01:51,M1,-0.0158691,0.0859375,-0.953613,Feed
15:01:51,M1,0.0078125,0.0859375,-0.989746,Feed
15:01:51,M1,0.0437012,0.0859375,-0.989746,Feed
15:01:51,M1,0.0317383,0.0979004,-0.965576,Feed
15:01:51,M1,0.0078125,0.0979004,-0.94165,Feed
15:01:51,M1,-0.027832,0.0979004,-0.965576,Feed
15:01:51,M1,-0.0517578,0.0979004,-0.953613,Feed
15:01:51,M1,-0.0397949,0.0979004,-0.953613,Feed
15:01:51,M1,0.0078125,0.0859375,-0.977783,Feed
15:01:51,M1,0.0078125,0.0739746,-0.965576,Feed
15:01:51,M1,-0.0397949,0.0979004,-0.965576,Feed
15:01:51,M1,-0.027832,0.0979004,-0.965576,Feed
15:01:51,M1,0.0197754,0.0979004,-0.965576,Feed
15:01:51,M1,0.0197754,0.0739746,-0.94165,Feed
15:01:51,M1,-0.027832,0.0859375,-0.965576,Feed
15:01:51,M1,-0.0397949,0.0979004,-0.953613,Feed
15:01:51,M1,-0.0639648,0.0739746,-0.989746,Feed
15:01:51,M1,-0.0639648,0.0859375,-0.989746,Feed
15:01:51,M1,-0.0158691,0.0739746,-1.00171,Feed
15:01:51,M1,-0.00390625,0.0979004,-0.965576,Feed
15:01:51,M1,-0.027832,0.0859375,-0.953613,Feed
15:01:51,M1,-0.0397949,0.0617676,-0.929688,Feed
15:01:51,M1,-0.027832,0.0617676,-0.953613,Feed
15:01:51,M1,0.0078125,0.0859375,-0.977783,Feed
15:01:51,M1,-0.00390625,0.0859375,-0.977783,Feed
15:01:51,M1,-0.027832,0.0739746,-0.965576,Feed
15:01:51,M1,-0.0517578,0.0739746,-0.953613,Feed
15:01:51,M1,-0.0397949,0.0739746,-0.94165,Feed
15:01:51,M1,0.0197754,0.0617676,-0.917725,Feed
15:01:51,M1,0.0437012,0.0739746,-0.94165,Feed
15:01:51,M1,-0.0517578,0.0739746,-0.977783,Feed
15:01:51,M1,-0.0517578,0.0617676,-0.965576,Feed
15:01:51,M1,-0.027832,0.0739746,-0.977783,Feed
15:01:51,M1,0.187744,0.0739746,-0.989746,Feed
15:01:51,M1,0.0317383,0.0859375,-0.965576,Feed
15:01:51,M1,-0.0158691,0.0859375,-0.953613,Feed
15:01:51,M1,-0.0397949,0.0859375,-0.965576,Feed
15:01:51,M1,-0.0158691,0.0859375,-0.94165,Feed
15:01:51,M1,0.0078125,0.0859375,-0.917725,Feed
15:01:52,M1,0.0556641,0.0859375,-0.94165,Feed
15:01:52,M1,0.0556641,0.0859375,-0.965576,Feed
15:01:52,M1,0.0078125,0.0739746,-0.989746,Feed
15:01:52,M1,0.0317383,0.0859375,-0.977783,Feed
15:01:52,M1,0.0078125,0.0739746,-0.977783,Feed
15:01:52,M1,-0.00390625,0.0859375,-0.953613,Feed
15:01:52,M1,-0.0397949,0.0739746,-0.965576,Feed
15:01:52,M1,-0.027832,0.0739746,-0.977783,Feed
